очень	очень	ADV	advmod	не	не	PART	_	_	_	_	20458.90825699893	1588
только	только	PART	advmod	не	не	PART	_	_	_	_	8348.471379430293	648
так	так	ADV	advmod	не	не	PART	_	_	_	_	5101.8436207629575	396
совсем	совсем	ADV	advmod	не	не	PART	_	_	_	_	4290.186681096124	333
тем	то	PRON	fixed	не	не	PART	fixed	менее	менее	ADV	3027.609219392159	235
особо	особо	ADV	advmod	не	не	PART	_	_	_	_	2834.357567090532	220
слишком	слишком	ADV	advmod	не	не	PART	_	_	_	_	2705.5231322227805	210
просто	просто	PART	advmod	не	не	PART	_	_	_	_	2602.4555843285793	202
всегда	всегда	ADV	advmod	не	не	PART	_	_	_	_	2499.388036434378	194
могу	мочь	VERB	advmod	не	не	PART	xcomp	сказать	сказать	VERB	2434.970819000502	189
все	все	PRON	advmod	не	не	PART	_	_	_	_	1649.0807663072187	128
более	более	ADV	advmod	не	не	PART	_	_	_	_	1584.663548873343	123
было	быть	VERB	advmod	не	не	PART	cc	но	но	CCONJ	1571.7801053865678	122
сильно	сильно	ADV	advmod	не	не	PART	_	_	_	_	1481.5960009791415	115
менее	менее	ADV	advmod	не	не	PART	_	_	_	_	1352.7615661113903	105
раз	раз	NOUN	advmod	не	не	PART	_	_	_	_	1352.7615661113903	105
самое	самый	ADJ	advmod	не	не	PART	_	_	_	_	1326.99467913784	103
раз	раз	NOUN	advmod	не	не	PART	obl	еще	еще	ADV	1314.1112356510648	102
сразу	сразу	ADV	advmod	не	не	PART	_	_	_	_	1288.3443486775145	100
один	один	NUM	advmod	не	не	PART	_	_	_	_	1185.2768007833135	92
было	быть	VERB	advmod	не	не	PART	mark	что	что	SCONJ	1133.7430268362127	88
пойду	пойти	VERB	advmod	не	не	PART	advmod	больше	больше	ADV	1082.2092528891121	84
могу	мочь	VERB	advmod	не	не	PART	cc	но	но	CCONJ	1069.3258094023372	83
знаю	знать	VERB	advmod	не	не	PART	nsubj	я	я	PRON	1043.5589224287867	81
знаю	знать	VERB	advmod	не	не	PART	_	_	_	_	1043.5589224287867	81
все	весь	DET	advmod	не	не	PART	_	_	_	_	1030.6754789420118	80
самый	самый	ADJ	advmod	не	не	PART	_	_	_	_	1030.6754789420118	80
было	быть	VERB	advmod	не	не	PART	cc	и	и	CCONJ	1017.7920354552364	79
чему	что	PRON	advmod	не	не	PART	case	к	к	ADP	1017.7920354552364	79
первый	первый	ADJ	advmod	не	не	PART	_	_	_	_	1004.9085919684613	78
мой	мой	DET	advmod	не	не	PART	_	_	_	_	940.4913745345856	73
зря	зря	ADV	advmod	не	не	PART	_	_	_	_	901.8410440742603	70
ошибаюсь	ошибиться	VERB	advmod	не	не	PART	mark	если	если	SCONJ	876.0741571007098	68
было	быть	VERB	advmod	не	не	PART	cc	а	а	CCONJ	850.3072701271595	66
раз	раз	NOUN	advmod	не	не	PART	cc	и	и	CCONJ	837.4238266403844	65
пожалели	жалеть	VERB	advmod	не	не	PART	cc	и	и	CCONJ	824.5403831536094	64
более	более	ADV	advmod	не	не	PART	cc	но	но	CCONJ	824.5403831536094	64
самые	самый	ADJ	advmod	не	не	PART	_	_	_	_	811.6569396668342	63
часто	часто	ADV	advmod	не	не	PART	_	_	_	_	798.7734961800589	62
люблю	любить	VERB	advmod	не	не	PART	nsubj	я	я	PRON	785.8900526932839	61
пожалеете	жалеть	VERB	advmod	не	не	PART	_	_	_	_	734.3562787461833	57
может	мочь	VERB	advmod	не	не	PART	mark	что	что	SCONJ	721.472835259408	56
знаю	знать	VERB	advmod	не	не	PART	advmod	даже	даже	PART	721.472835259408	56
понравилось	понравиться	VERB	advmod	не	не	PART	_	_	_	_	708.589391772633	55
понравилось	понравиться	VERB	advmod	не	не	PART	mark	что	что	SCONJ	695.7059482858579	54
оказалось	оказаться	VERB	advmod	не	не	PART	cc	но	но	CCONJ	669.9390613123076	52
смотря	смотреть	VERB	advmod	не	не	PART	obl	то	то	PRON	657.0556178255324	51
так	так	ADV	advmod	не	не	PART	advmod	уж	уж	PART	657.0556178255324	51
пойдем	пойти	VERB	advmod	не	не	PART	advmod	больше	больше	ADV	644.1721743387573	50
мое	мой	DET	advmod	не	не	PART	_	_	_	_	631.2887308519821	49
долго	долго	ADV	advmod	не	не	PART	_	_	_	_	631.2887308519821	49
тот	тот	DET	advmod	не	не	PART	_	_	_	_	618.405287365207	48
первой	первый	ADJ	advmod	не	не	PART	_	_	_	_	618.405287365207	48
могу	мочь	VERB	advmod	не	не	PART	nsubj	я	я	PRON	605.5218438784318	47
знаю	знать	VERB	advmod	не	не	PART	advmod	уж	уж	PART	592.6384003916568	46
столь	столь	ADV	advmod	не	не	PART	_	_	_	_	566.8715134181064	44
самая	самый	ADJ	advmod	не	не	PART	_	_	_	_	553.9880699313313	43
много	много	ADV	advmod	не	не	PART	_	_	_	_	541.1046264445561	42
плохо	плохо	ADV	advmod	не	не	PART	_	_	_	_	528.2211829577809	41
радовать	радовать	VERB	advmod	не	не	PART	_	_	_	_	515.3377394710059	40
понравилось	понравиться	VERB	advmod	не	не	PART	iobj	мне	я	PRON	502.45429598423067	39
что	что	PRON	advmod	не	не	PART	case	за	за	ADP	502.45429598423067	39
надо	надо	ADV	advmod	не	не	PART	cc	и	и	CCONJ	489.57085249745546	38
понравилось	понравиться	VERB	advmod	не	не	PART	nsubj	что	что	PRON	489.57085249745546	38
хватает	хватать	VERB	advmod	не	не	PART	cc	но	но	CCONJ	489.57085249745546	38
хочется	хотеться	VERB	advmod	не	не	PART	cc	но	но	CCONJ	476.68740901068037	37
будет	быть	VERB	advmod	не	не	PART	mark	что	что	SCONJ	476.68740901068037	37
понимаю	понимать	VERB	advmod	не	не	PART	nsubj	я	я	PRON	476.68740901068037	37
каждый	каждый	DET	advmod	не	не	PART	_	_	_	_	476.68740901068037	37
дорого	дорогой	ADJ	advmod	не	не	PART	cc	и	и	CCONJ	463.8039655239052	36
мало	мало	ADV	advmod	не	не	PART	_	_	_	_	463.8039655239052	36
стоит	стоить	VERB	advmod	не	не	PART	cc	но	но	CCONJ	450.9205220371301	35
советую	советовать	VERB	advmod	не	не	PART	cc	и	и	CCONJ	438.0370785503549	34
помню	помнить	VERB	advmod	не	не	PART	_	_	_	_	438.0370785503549	34
везде	везде	ADV	advmod	не	не	PART	_	_	_	_	438.0370785503549	34
любитель	любитель	NOUN	advmod	не	не	PART	nsubj	я	я	PRON	425.15363506357977	33
хотите	хотеть	VERB	advmod	не	не	PART	mark	если	если	SCONJ	425.15363506357977	33
смогла	мочь	VERB	advmod	не	не	PART	nsubj	я	я	PRON	425.15363506357977	33
могу	мочь	VERB	advmod	не	не	PART	cc	и	и	CCONJ	412.2701915768047	32
говорю	говорить	VERB	advmod	не	не	PART	nsubj	я	я	PRON	412.2701915768047	32
такой	такой	DET	advmod	не	не	PART	_	_	_	_	412.2701915768047	32
знаю	знать	VERB	advmod	не	не	PART	cc	и	и	CCONJ	412.2701915768047	32
большой	большой	ADJ	advmod	не	не	PART	_	_	_	_	412.2701915768047	32
хватает	хватать	VERB	advmod	не	не	PART	mark	что	что	SCONJ	399.38674809002947	31
всем	все	PRON	advmod	не	не	PART	_	_	_	_	399.38674809002947	31
ошибаюсь	ошибаться	VERB	advmod	не	не	PART	mark	если	если	SCONJ	399.38674809002947	31
то	то	PRON	advmod	не	не	PART	cc	но	но	CCONJ	399.38674809002947	31
то	то	PRON	advmod	не	не	PART	_	_	_	_	399.38674809002947	31
поняла	понять	VERB	advmod	не	не	PART	nsubj	я	я	PRON	386.5033046032544	30
было	быть	VERB	advmod	не	не	PART	mark	так	так	ADV	386.5033046032544	30
курящих	курить	VERB	advmod	не	не	PART	mark	для	для	ADP	386.5033046032544	30
первый	первый	ADJ	advmod	не	не	PART	obl	уже	уже	ADV	373.6198611164792	29
хочется	хотеться	VERB	advmod	не	не	PART	cc	и	и	CCONJ	360.736417629704	28
чем	что	PRON	advmod	не	не	PART	case	с	с	ADP	360.736417629704	28
хотелось	хотеться	VERB	advmod	не	не	PART	xcomp	уходить	уходить	VERB	360.736417629704	28
хотелось	хотеться	VERB	advmod	не	не	PART	cc	и	и	CCONJ	360.736417629704	28
большой	больший	ADJ	advmod	не	не	PART	_	_	_	_	347.85297414292893	27
пришлось	прийтись	VERB	advmod	не	не	PART	csubj	ждать	ждать	VERB	347.85297414292893	27
знаю	знать	VERB	advmod	не	не	PART	parataxis	ну	ну	PART	347.85297414292893	27
помню	помнить	VERB	advmod	не	не	PART	obj	название	название	NOUN	347.85297414292893	27
понял	понять	VERB	advmod	не	не	PART	nsubj	я	я	PRON	347.85297414292893	27
советую	советовать	VERB	advmod	не	не	PART	iobj	никому	никто	PRON	347.85297414292893	27
я	я	PRON	advmod	не	не	PART	_	_	_	_	347.85297414292893	27
раз	раз	NOUN	advmod	не	не	PART	obl	уже	уже	ADV	334.9695306561538	26
особенно	особенно	ADV	advmod	не	не	PART	_	_	_	_	334.9695306561538	26
&quot	&quot	X	advmod	не	не	PART	cc	а	а	CCONJ	334.9695306561538	26
правильно	правильно	ADV	advmod	не	не	PART	_	_	_	_	334.9695306561538	26
смогла	мочь	VERB	advmod	не	не	PART	cc	но	но	CCONJ	334.9695306561538	26
удалось	удаться	VERB	advmod	не	не	PART	cc	но	но	CCONJ	334.9695306561538	26
стала	стать	VERB	advmod	не	не	PART	nsubj	я	я	PRON	334.9695306561538	26
понравилось	понравиться	VERB	advmod	не	не	PART	cc	но	но	CCONJ	334.9695306561538	26
раз	раз	NOUN	advmod	не	не	PART	case	в	в	ADP	334.9695306561538	26
прогадали	прогадать	VERB	advmod	не	не	PART	cc	и	и	CCONJ	334.9695306561538	26
сказать	сказать	VERB	advmod	не	не	PART	obl	ничего	ничто	PRON	334.9695306561538	26
помню	помнить	VERB	advmod	не	не	PART	advmod	точно	точно	ADV	322.08608716937863	25
наш	наш	DET	advmod	не	не	PART	_	_	_	_	322.08608716937863	25
считать	считать	VERB	advmod	не	не	PART	mark	если	если	SCONJ	322.08608716937863	25
очень	очень	ADV	advmod	не	не	PART	discourse	то	то	PART	322.08608716937863	25
понравился	понравиться	VERB	advmod	не	не	PART	iobj	мне	я	PRON	309.2026436826035	24
так	так	ADV	advmod	не	не	PART	cc	но	но	CCONJ	309.2026436826035	24
&quot	&quot	X	advmod	не	не	PART	cc	но	но	CCONJ	309.2026436826035	24
то	тот	DET	advmod	не	не	PART	_	_	_	_	309.2026436826035	24
то	то	PRON	advmod	не	не	PART	fixed	что	что	SCONJ	309.2026436826035	24
хотелось	хотеться	VERB	advmod	не	не	PART	cc	но	но	CCONJ	309.2026436826035	24
ресторан	ресторан	NOUN	advmod	не	не	PART	nsubj	это	это	PRON	309.2026436826035	24
испортило	испортить	VERB	advmod	не	не	PART	cc	но	но	CCONJ	309.2026436826035	24
смотря	смотреть	VERB	advmod	не	не	PART	cc	и	и	CCONJ	296.3192001958284	23
успели	успеть	VERB	advmod	не	не	PART	nsubj	мы	мы	PRON	296.3192001958284	23
стоит	стоить	VERB	advmod	не	не	PART	mark	что	что	SCONJ	296.3192001958284	23
может	мочь	VERB	advmod	не	не	PART	nsubj	что	что	PRON	296.3192001958284	23
могла	мочь	VERB	advmod	не	не	PART	nsubj	я	я	PRON	296.3192001958284	23
ресторан	ресторан	NOUN	advmod	не	не	PART	cc	а	а	CCONJ	283.4357567090532	22
смогли	мочь	VERB	advmod	не	не	PART	cc	но	но	CCONJ	283.4357567090532	22
вполне	вполне	ADV	advmod	не	не	PART	_	_	_	_	283.4357567090532	22
знаю	знать	VERB	advmod	не	не	PART	advmod	как	как	ADV	283.4357567090532	22
тут	тут	ADV	advmod	не	не	PART	cc	но	но	CCONJ	283.4357567090532	22
может	мочь	VERB	advmod	не	не	PART	cc	но	но	CCONJ	283.4357567090532	22
самого	самый	ADJ	advmod	не	не	PART	_	_	_	_	283.4357567090532	22
может	мочь	VERB	advmod	не	не	PART	cc	и	и	CCONJ	283.4357567090532	22
хватило	хватить	VERB	advmod	не	не	PART	cc	но	но	CCONJ	283.4357567090532	22
пожалела	жалеть	VERB	advmod	не	не	PART	cc	и	и	CCONJ	283.4357567090532	22
понравился	понравиться	VERB	advmod	не	не	PART	nsubj	интерьер	интерьер	NOUN	283.4357567090532	22
буду	быть	AUX	advmod	не	не	PART	_	_	_	_	283.4357567090532	22
люблю	любить	VERB	advmod	не	не	PART	cc	но	но	CCONJ	283.4357567090532	22
было	быть	VERB	advmod	не	не	PART	mark	хотя	хотя	SCONJ	270.55231322227803	21
моя	мой	DET	advmod	не	не	PART	_	_	_	_	270.55231322227803	21
знаю	знать	VERB	advmod	не	не	PART	advmod	почему	почему	ADV	270.55231322227803	21
помню	помнить	VERB	advmod	не	не	PART	parataxis	сожалению	сожаление	NOUN	270.55231322227803	21
пойду	пойти	VERB	advmod	не	не	PART	cc	но	но	CCONJ	270.55231322227803	21
стала	стать	VERB	advmod	не	не	PART	cc	но	но	CCONJ	270.55231322227803	21
нравится	нравиться	VERB	advmod	не	не	PART	iobj	мне	я	PRON	270.55231322227803	21
ела	есть	VERB	advmod	не	не	PART	nsubj	я	я	PRON	270.55231322227803	21
один	один	NUM	advmod	не	не	PART	advmod	еще	еще	ADV	270.55231322227803	21
успела	успеть	VERB	advmod	не	не	PART	nsubj	я	я	PRON	270.55231322227803	21
работает	работать	VERB	advmod	не	не	PART	mark	что	что	SCONJ	270.55231322227803	21
ошиблись	ошибиться	VERB	advmod	не	не	PART	cc	и	и	CCONJ	257.66886973550294	20
надо	надо	ADV	advmod	не	не	PART	mark	что	что	SCONJ	257.66886973550294	20
стали	стать	VERB	advmod	не	не	PART	nsubj	мы	мы	PRON	257.66886973550294	20
знаю	знать	VERB	advmod	не	не	PART	cc	но	но	CCONJ	257.66886973550294	20
может	мочь	VERB	advmod	не	не	PART	xcomp	быть	быть	VERB	257.66886973550294	20
пойду	пойти	VERB	advmod	не	не	PART	obl	раз	раз	NOUN	257.66886973550294	20
было	быть	VERB	advmod	не	не	PART	nsubj	мест	место	NOUN	257.66886973550294	20
больше	больше	ADV	advmod	не	не	PART	_	_	_	_	257.66886973550294	20
этом	это	PRON	advmod	не	не	PART	cc	но	но	CCONJ	257.66886973550294	20
знает	знать	VERB	advmod	не	не	PART	mark	что	что	SCONJ	257.66886973550294	20
понятно	понятный	ADJ	advmod	не	не	PART	_	_	_	_	257.66886973550294	20
изменяет	изменять	VERB	advmod	не	не	PART	mark	если	если	SCONJ	257.66886973550294	20
помню	помнить	VERB	advmod	не	не	PART	advmod	уже	уже	ADV	257.66886973550294	20
хочется	хотеться	VERB	advmod	не	не	PART	cc	а	а	CCONJ	257.66886973550294	20
_	_	_	_	_	_	_	_	_	_	_	257.66886973550294	20
чем	что	PRON	advmod	не	не	PART	case	о	о	ADP	257.66886973550294	20
как	как	SCONJ	advmod	не	не	PART	_	_	_	_	244.78542624872773	19
стали	стать	VERB	advmod	не	не	PART	cc	и	и	CCONJ	244.78542624872773	19
надо	надо	ADV	advmod	не	не	PART	cc	а	а	CCONJ	244.78542624872773	19
стал	стать	VERB	advmod	не	не	PART	nsubj	я	я	PRON	244.78542624872773	19
напрягает	напрягать	VERB	advmod	не	не	PART	cc	но	но	CCONJ	244.78542624872773	19
понравилось	понравиться	VERB	advmod	не	не	PART	cc	и	и	CCONJ	244.78542624872773	19
ем	есть	VERB	advmod	не	не	PART	nsubj	я	я	PRON	244.78542624872773	19
достаточно	достаточно	ADV	advmod	не	не	PART	_	_	_	_	244.78542624872773	19
посоветую	советовать	VERB	advmod	не	не	PART	cc	и	и	CCONJ	244.78542624872773	19
могу	мочь	VERB	advmod	не	не	PART	mark	что	что	SCONJ	244.78542624872773	19
приходилось	приходиться	VERB	advmod	не	не	PART	csubj	ждать	ждать	VERB	244.78542624872773	19
удалось	удаться	VERB	advmod	не	не	PART	mark	что	что	SCONJ	231.9019827619526	18
