word,score
авторский_ADJ,0
агрессивный_NOUN,1
адекватный_ADJ,0
адоптировать_ADJ,0
ажурный_ADJ,0
азиатский_ADJ,0
аккуратненький_ADJ,0
аккуратно_ADJ,0
аккуратный_ADJ,1
аксессуар_NOUN,0
актуальный_ADJ,0
алкаш_NOUN,1
алкогольно_ADJ,0
альпийский_ADJ,0
америкос_NOUN,1
антисанитария_NOUN,1
апельсиновый_ADJ,0
аппетитный_ADJ,1
аристократичный_ADJ,0
армянский_ADJ,0
ароматно_ADJ,0
ароматно_ADV,0
ароматный_ADJ,1
археологический_ADJ,0
архитектурный_ADJ,0
аскетичен_ADJ,0
аскетичный_ADJ,0
атлетический_ADJ,0
атмосферный_ADJ,0
аутентичнать_ADJ,0
аутентичный_ADJ,0
баварский_ADJ,0
баланда_NOUN,1
балдахин_NOUN,0
бальный_ADJ,0
банальный_ADJ,0
барный_ADJ,0
барочный_ADJ,0
бархатный_ADJ,0
беда_NOUN,1
бедняга_NOUN,1
бедолага_NOUN,1
бежевой_ADJ,0
безалкогольный_ADJ,0
безвкусный_ADJ,0
безумно_ADJ,0
безупречный_ADJ,0
безусловный_ADJ,0
белизный_NOUN,0
белоснежный_ADJ,0
белый_ADJ,0
бескостный_ADJ,0
бесплатный_ADJ,0
бесподобный_ADJ,0
бесполезный_ADJ,0
бестолковый_ADJ,0
бесчисленный_ADJ,0
бирюзовый_ADJ,0
благоговейный_ADJ,0
благоговение_NOUN,0
благородный_ADJ,0
бледный_ADJ,0
блеск_NOUN,0
блестеть_ADJ,0
блестючий_ADJ,0
блестящий_ADJ,0
блестящий_VERB,0
близкий_ADJ,0
близко_ADJ,0
блистательный_ADJ,0
блистать_VERB,0
богатый_ADJ,1
богатырский_ADJ,0
бодрый_ADJ,0
бодрящий_ADJ,0
божественнный_ADJ,0
болеть_NOUN,1
болеть_VERB,1
больше_ADJ,0
больший_ADJ,0
большой_ADJ,1
бояться_VERB,1
брезговать_VERB,1
брехня_NOUN,1
брусничный_ADJ,0
брутальный_ADJ,0
будничный_ADJ,0
буйный_ADJ,0
бумажный_ADJ,0
быдло_NOUN,1
быстро_ADJ,1
быстрый_ADJ,1
быстый_ADJ,0
бюджетный_ADJ,0
важный_ADJ,0
вариативный_ADJ,0
варёный_ADJ,0
ватный_ADJ,0
вдохновенный_ADJ,0
вежливой_ADJ,0
вежливый_ADJ,1
великий_ADJ,0
великолепие_NOUN,0
великолепной_ADJ,0
великолепный_ADJ,0
великолпный_ADJ,0
величественность_NOUN,0
величественный_ADJ,0
верный_ADJ,0
веселенький_ADJ,0
весело_ADJ,0
веселый_ADJ,1
веселящий_ADJ,0
весеть_ADJ,0
веской_ADJ,0
весёлый_ADJ,0
взбитый_ADJ,0
видный_ADJ,0
видовой_ADJ,0
винить_VERB,1
винный_ADJ,0
виноватый_ADJ,1
виноватый_NOUN,1
вишневой_ADJ,0
вкуснее_ADV,0
вкусно_ADJ,0
вкусно_ADV,0
вкусный_ADJ,2
вкусный_NOUN,1
вляпаться_VERB,1
вменяемой_ADJ,0
вменяемый_ADJ,0
вместительный_ADJ,0
вместить_VERB,0
внимательный_ADJ,1
внушительный_ADJ,0
водопад_NOUN,0
водянистый_ADJ,0
возвышенный_ADJ,0
воздушно_ADJ,0
воздушный_ADJ,0
возможно_ADJ,0
волевой_ADJ,0
волновать_ADJ,0
волшебной_ADJ,0
волшебный_ADJ,0
воодушевлять_VERB,0
воровать_VERB,1
воровство_NOUN,1
воспитанный_ADJ,0
воссоздание_NOUN,0
воссоздать_VERB,0
восторженный_ADJ,0
восторженный_VERB,0
восточный_ADJ,0
восхитительный_ADJ,0
восхитить_VERB,0
восхищать_VERB,0
восхищаться_VERB,0
восхищение_NOUN,0
восхищенный_ADJ,0
восхищенный_VERB,0
восхищеть_VERB,0
восходить_VERB,0
восьмикусковый_ADJ,0
впечатляющий_ADJ,0
вранье_NOUN,1
врать_VERB,1
вредно_ADJ,0
всбыть_VERB,1
все_NOUN,1
всегда_NOUN,1
всеобщий_ADJ,0
всяческий_ADJ,0
вша_NOUN,1
въедливый_ADJ,0
выдающийся_ADJ,0
выдающийся_VERB,0
выкручиваться_VERB,1
выпархивать_VERB,0
выразительный_ADJ,0
выразить_ADJ,0
высокий_ADJ,0
высоко_ADJ,0
